FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,DEST,ARR_DELAY,DEP_DELAY,CANCELLED,DIVERTED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,CRS_DEP_TIME,CANCELLATION_REASON,Route,Month,Year,Day_Of_Week,Is_Weekend,Season,Delay_Category,Is_Delayed,CRS_DEP_HOUR,Time_Of_Day,Total_Cause_Delay,Dominant_Delay_Cause,Origin_Flight_Volume
2023-01-01 17:00:00,NK,LAX,ATL,11,44,0,0,B,14,37,55,4,62,2053,Weather,LAX → ATL,1,2023,Sunday,True,Winter,Minor Delay,False,20,Evening,172,LATE_AIRCRAFT_DELAY,380
2023-01-01 18:00:00,DL,DEN,DEN,53,43,0,0,C,89,56,79,1,12,1340,NAS,DEN → DEN,1,2023,Sunday,True,Winter,Moderate Delay,True,13,Afternoon,237,CARRIER_DELAY,374
2023-01-01 19:00:00,WN,DFW,DFW,-1,88,0,0,C,73,31,45,0,50,1253,NAS,DFW → DFW,1,2023,Sunday,True,Winter,Early/On-time,False,12,Afternoon,199,CARRIER_DELAY,395
2023-01-01 20:00:00,B6,DEN,SFO,19,-7,0,0,B,87,50,31,7,4,1518,Weather,DEN → SFO,1,2023,Sunday,True,Winter,Moderate Delay,True,15,Afternoon,179,CARRIER_DELAY,374
2023-01-01 21:00:00,AA,DEN,LAX,8,-121,0,0,,34,58,17,5,46,1729,Not Cancelled / Unknown,DEN → LAX,1,2023,Sunday,True,Winter,Minor Delay,False,17,Afternoon,160,WEATHER_DELAY,374
2023-01-01 22:00:00,WN,LAX,LAX,0,-4,0,0,,28,57,67,6,35,1959,Not Cancelled / Unknown,LAX → LAX,1,2023,Sunday,True,Winter,Early/On-time,False,19,Evening,193,NAS_DELAY,380
2023-01-01 23:00:00,DL,LAX,SEA,31,21,0,0,,37,13,34,5,35,710,Not Cancelled / Unknown,LAX → SEA,1,2023,Sunday,True,Winter,Moderate Delay,True,7,Morning,124,CARRIER_DELAY,380
2023-01-02 00:00:00,NK,LAX,SFO,-39,40,0,0,,68,29,22,9,49,474,Not Cancelled / Unknown,LAX → SFO,1,2023,Monday,False,Winter,Early/On-time,False,4,Night,177,CARRIER_DELAY,380
2023-01-02 01:00:00,B6,DFW,DEN,3,24,0,0,B,23,12,78,6,55,573,Weather,DFW → DEN,1,2023,Monday,False,Winter,Minor Delay,False,5,Night,174,NAS_DELAY,395
2023-01-02 02:00:00,WN,SEA,DEN,29,-7,1,0,B,18,39,12,8,18,507,Weather,SEA → DEN,1,2023,Monday,False,Winter,Moderate Delay,True,5,Night,95,WEATHER_DELAY,352
2023-01-02 03:00:00,AA,LAX,ORD,97,80,0,0,,45,30,77,4,19,2222,Not Cancelled / Unknown,LAX → ORD,1,2023,Monday,False,Winter,Major Delay,True,22,Evening,175,NAS_DELAY,380
2023-01-02 04:00:00,AA,SFO,SEA,-37,-29,0,0,B,48,36,13,0,21,691,Weather,SFO → SEA,1,2023,Monday,False,Winter,Early/On-time,False,6,Morning,118,CARRIER_DELAY,367
2023-01-02 05:00:00,UA,DFW,SFO,38,1,0,0,A,43,44,36,0,30,1294,Carrier,DFW → SFO,1,2023,Monday,False,Winter,Moderate Delay,True,12,Afternoon,153,WEATHER_DELAY,395
2023-01-02 06:00:00,UA,LAX,JFK,43,-31,0,0,C,72,37,4,8,61,1697,NAS,LAX → JFK,1,2023,Monday,False,Winter,Moderate Delay,True,16,Afternoon,182,CARRIER_DELAY,380
2023-01-02 07:00:00,DL,JFK,ORD,-69,12,0,0,A,25,21,21,4,43,787,Carrier,JFK → ORD,1,2023,Monday,False,Winter,Early/On-time,False,7,Morning,114,LATE_AIRCRAFT_DELAY,384
2023-01-02 08:00:00,WN,DEN,SEA,33,75,0,0,C,24,58,27,1,67,571,NAS,DEN → SEA,1,2023,Monday,False,Winter,Moderate Delay,True,5,Night,177,LATE_AIRCRAFT_DELAY,374
2023-01-02 09:00:00,WN,SFO,SFO,54,6,0,0,B,34,27,3,2,66,2233,Weather,SFO → SFO,1,2023,Monday,False,Winter,Moderate Delay,True,22,Evening,132,LATE_AIRCRAFT_DELAY,367
2023-01-02 10:00:00,NK,LAX,SFO,41,6,0,0,B,35,57,49,0,88,586,Weather,LAX → SFO,1,2023,Monday,False,Winter,Moderate Delay,True,5,Night,229,LATE_AIRCRAFT_DELAY,380
2023-01-02 11:00:00,NK,ATL,ORD,11,-55,0,0,,13,58,28,5,48,513,Not Cancelled / Unknown,ATL → ORD,1,2023,Monday,False,Winter,Minor Delay,False,5,Night,152,WEATHER_DELAY,347
2023-01-02 12:00:00,NK,DEN,JFK,29,0,0,0,D,55,18,36,5,58,1975,Security,DEN → JFK,1,2023,Monday,False,Winter,Moderate Delay,True,19,Evening,172,LATE_AIRCRAFT_DELAY,374
2023-01-02 13:00:00,UA,DEN,SEA,22,58,0,0,D,5,42,34,2,3,555,Security,DEN → SEA,1,2023,Monday,False,Winter,Moderate Delay,True,5,Night,86,WEATHER_DELAY,374
2023-01-02 14:00:00,WN,LAX,SFO,-61,1,0,0,C,31,58,19,2,38,1709,NAS,LAX → SFO,1,2023,Monday,False,Winter,Early/On-time,False,17,Afternoon,148,WEATHER_DELAY,380
2023-01-02 15:00:00,WN,SEA,SFO,23,0,0,0,,25,15,34,6,6,294,Not Cancelled / Unknown,SEA → SFO,1,2023,Monday,False,Winter,Moderate Delay,True,2,Night,86,NAS_DELAY,352
2023-01-02 16:00:00,AA,ORD,SEA,-1,56,0,1,D,14,4,1,0,70,1116,Security,ORD → SEA,1,2023,Monday,False,Winter,Early/On-time,False,11,Morning,89,LATE_AIRCRAFT_DELAY,401
2023-01-02 17:00:00,UA,SEA,DFW,-16,0,0,0,C,48,43,57,4,48,1510,NAS,SEA → DFW,1,2023,Monday,False,Winter,Early/On-time,False,15,Afternoon,200,NAS_DELAY,352
2023-01-02 18:00:00,B6,LAX,ORD,126,63,0,0,,55,48,17,2,88,2091,Not Cancelled / Unknown,LAX → ORD,1,2023,Monday,False,Winter,Major Delay,True,20,Evening,210,LATE_AIRCRAFT_DELAY,380
2023-01-02 19:00:00,UA,DEN,ORD,71,-39,0,0,A,36,1,55,4,14,1807,Carrier,DEN → ORD,1,2023,Monday,False,Winter,Major Delay,True,18,Evening,110,NAS_DELAY,374
2023-01-02 20:00:00,B6,SFO,LAX,-36,39,0,0,,52,9,63,3,6,2086,Not Cancelled / Unknown,SFO → LAX,1,2023,Monday,False,Winter,Early/On-time,False,20,Evening,133,NAS_DELAY,367
2023-01-02 21:00:00,AA,ATL,JFK,30,77,0,0,B,57,46,51,5,46,1982,Weather,ATL → JFK,1,2023,Monday,False,Winter,Moderate Delay,True,19,Evening,205,CARRIER_DELAY,347
2023-01-02 22:00:00,DL,SFO,ATL,80,52,0,0,C,82,18,21,8,67,2336,NAS,SFO → ATL,1,2023,Monday,False,Winter,Major Delay,True,23,Evening,196,CARRIER_DELAY,367
2023-01-02 23:00:00,WN,SFO,DFW,-52,-62,0,0,A,77,19,59,1,97,247,Carrier,SFO → DFW,1,2023,Monday,False,Winter,Early/On-time,False,2,Night,253,LATE_AIRCRAFT_DELAY,367
2023-01-03 00:00:00,AA,DEN,SEA,18,-13,0,0,C,35,28,9,9,44,1461,NAS,DEN → SEA,1,2023,Tuesday,False,Winter,Moderate Delay,True,14,Afternoon,125,LATE_AIRCRAFT_DELAY,374
2023-01-03 01:00:00,WN,SEA,SEA,20,2,0,0,C,10,24,79,7,18,1818,NAS,SEA → SEA,1,2023,Tuesday,False,Winter,Moderate Delay,True,18,Evening,138,NAS_DELAY,352
2023-01-03 02:00:00,NK,ATL,SEA,-42,52,0,0,,26,16,5,1,46,2256,Not Cancelled / Unknown,ATL → SEA,1,2023,Tuesday,False,Winter,Early/On-time,False,22,Evening,94,LATE_AIRCRAFT_DELAY,347
2023-01-03 03:00:00,DL,DFW,DFW,32,-41,0,0,,1,50,5,3,52,2171,Not Cancelled / Unknown,DFW → DFW,1,2023,Tuesday,False,Winter,Moderate Delay,True,21,Evening,111,LATE_AIRCRAFT_DELAY,395
2023-01-03 04:00:00,DL,JFK,SFO,65,-28,0,0,,21,50,27,8,26,974,Not Cancelled / Unknown,JFK → SFO,1,2023,Tuesday,False,Winter,Major Delay,True,9,Morning,132,WEATHER_DELAY,384
2023-01-03 05:00:00,AA,DEN,SEA,82,-52,0,0,B,65,12,41,3,4,1877,Weather,DEN → SEA,1,2023,Tuesday,False,Winter,Major Delay,True,18,Evening,125,CARRIER_DELAY,374
2023-01-03 06:00:00,DL,LAX,SEA,3,-21,0,0,,83,44,73,6,59,402,Not Cancelled / Unknown,LAX → SEA,1,2023,Tuesday,False,Winter,Minor Delay,False,4,Night,265,CARRIER_DELAY,380
2023-01-03 07:00:00,B6,DFW,JFK,127,-38,0,0,B,16,15,40,4,76,283,Weather,DFW → JFK,1,2023,Tuesday,False,Winter,Major Delay,True,2,Night,151,LATE_AIRCRAFT_DELAY,395
2023-01-03 08:00:00,DL,JFK,DEN,-77,75,0,0,,3,53,62,1,61,2019,Not Cancelled / Unknown,JFK → DEN,1,2023,Tuesday,False,Winter,Early/On-time,False,20,Evening,180,NAS_DELAY,384
2023-01-03 09:00:00,WN,LAX,DEN,31,-13,0,0,A,13,52,21,7,58,240,Carrier,LAX → DEN,1,2023,Tuesday,False,Winter,Moderate Delay,True,2,Night,151,LATE_AIRCRAFT_DELAY,380
2023-01-03 10:00:00,WN,SFO,LAX,-48,39,0,0,C,6,34,78,9,60,166,NAS,SFO → LAX,1,2023,Tuesday,False,Winter,Early/On-time,False,1,Night,187,NAS_DELAY,367
2023-01-03 11:00:00,WN,ORD,LAX,19,12,0,0,,78,35,28,9,55,1775,Not Cancelled / Unknown,ORD → LAX,1,2023,Tuesday,False,Winter,Moderate Delay,True,17,Afternoon,205,CARRIER_DELAY,401
2023-01-03 12:00:00,WN,LAX,SEA,-8,12,0,0,,15,58,70,1,77,560,Not Cancelled / Unknown,LAX → SEA,1,2023,Tuesday,False,Winter,Early/On-time,False,5,Night,221,LATE_AIRCRAFT_DELAY,380
2023-01-03 13:00:00,B6,ATL,JFK,37,-11,0,0,C,65,38,33,2,93,2195,NAS,ATL → JFK,1,2023,Tuesday,False,Winter,Moderate Delay,True,21,Evening,231,LATE_AIRCRAFT_DELAY,347
2023-01-03 14:00:00,UA,ATL,SEA,9,42,0,0,D,18,2,1,9,46,700,Security,ATL → SEA,1,2023,Tuesday,False,Winter,Minor Delay,False,7,Morning,76,LATE_AIRCRAFT_DELAY,347
2023-01-03 15:00:00,NK,ORD,LAX,-22,18,0,0,A,0,8,25,6,47,1919,Carrier,ORD → LAX,1,2023,Tuesday,False,Winter,Early/On-time,False,19,Evening,86,LATE_AIRCRAFT_DELAY,401
2023-01-03 16:00:00,AA,DFW,DFW,-19,15,0,0,C,30,39,74,4,9,264,NAS,DFW → DFW,1,2023,Tuesday,False,Winter,Early/On-time,False,2,Night,156,NAS_DELAY,395
2023-01-03 17:00:00,WN,JFK,DFW,101,-11,0,0,C,3,49,18,9,31,2326,NAS,JFK → DFW,1,2023,Tuesday,False,Winter,Major Delay,True,23,Evening,110,WEATHER_DELAY,384
2023-01-03 18:00:00,DL,LAX,SFO,34,-5,0,0,A,57,52,19,2,64,2206,Carrier,LAX → SFO,1,2023,Tuesday,False,Winter,Moderate Delay,True,22,Evening,194,LATE_AIRCRAFT_DELAY,380
2023-01-03 19:00:00,WN,ATL,ATL,-61,35,0,0,A,55,45,32,1,23,1083,Carrier,ATL → ATL,1,2023,Tuesday,False,Winter,Early/On-time,False,10,Morning,156,CARRIER_DELAY,347
2023-01-03 20:00:00,DL,DFW,DEN,39,21,0,0,A,52,51,3,5,28,498,Carrier,DFW → DEN,1,2023,Tuesday,False,Winter,Moderate Delay,True,4,Night,139,CARRIER_DELAY,395
2023-01-03 21:00:00,NK,ORD,JFK,6,16,0,0,C,88,59,31,9,6,1610,NAS,ORD → JFK,1,2023,Tuesday,False,Winter,Minor Delay,False,16,Afternoon,193,CARRIER_DELAY,401
2023-01-03 22:00:00,NK,SEA,ORD,15,-18,0,0,A,85,28,18,0,94,487,Carrier,SEA → ORD,1,2023,Tuesday,False,Winter,Minor Delay,False,4,Night,225,LATE_AIRCRAFT_DELAY,352
2023-01-03 23:00:00,NK,DEN,DEN,51,89,0,0,B,42,4,2,7,16,464,Weather,DEN → DEN,1,2023,Tuesday,False,Winter,Moderate Delay,True,4,Night,71,CARRIER_DELAY,374
2023-01-04 00:00:00,DL,SEA,ORD,68,-7,0,0,B,73,2,60,4,93,227,Weather,SEA → ORD,1,2023,Wednesday,False,Winter,Major Delay,True,2,Night,232,LATE_AIRCRAFT_DELAY,352
2023-01-04 01:00:00,WN,SEA,ATL,-23,10,0,0,C,48,9,37,4,24,665,NAS,SEA → ATL,1,2023,Wednesday,False,Winter,Early/On-time,False,6,Morning,122,CARRIER_DELAY,352
2023-01-04 02:00:00,NK,ATL,ATL,13,4,0,0,C,59,30,5,1,91,1379,NAS,ATL → ATL,1,2023,Wednesday,False,Winter,Minor Delay,False,13,Afternoon,186,LATE_AIRCRAFT_DELAY,347
2023-01-04 03:00:00,B6,SFO,SEA,-9,90,0,0,C,15,10,55,6,35,1489,NAS,SFO → SEA,1,2023,Wednesday,False,Winter,Early/On-time,False,14,Afternoon,121,NAS_DELAY,367
2023-01-04 04:00:00,DL,SFO,LAX,41,0,0,0,C,72,16,39,4,60,798,NAS,SFO → LAX,1,2023,Wednesday,False,Winter,Moderate Delay,True,7,Morning,191,CARRIER_DELAY,367
2023-01-04 05:00:00,DL,ORD,ATL,4,-3,0,0,B,80,39,68,7,70,261,Weather,ORD → ATL,1,2023,Wednesday,False,Winter,Minor Delay,False,2,Night,264,CARRIER_DELAY,401
2023-01-04 06:00:00,WN,LAX,ATL,16,16,0,0,B,59,40,41,4,34,859,Weather,LAX → ATL,1,2023,Wednesday,False,Winter,Moderate Delay,True,8,Morning,178,CARRIER_DELAY,380
2023-01-04 07:00:00,DL,SFO,ORD,2,-15,0,0,,46,7,73,8,83,363,Not Cancelled / Unknown,SFO → ORD,1,2023,Wednesday,False,Winter,Minor Delay,False,3,Night,217,LATE_AIRCRAFT_DELAY,367
2023-01-04 08:00:00,DL,SEA,LAX,10,16,0,0,B,14,51,1,4,77,2046,Weather,SEA → LAX,1,2023,Wednesday,False,Winter,Minor Delay,False,20,Evening,147,LATE_AIRCRAFT_DELAY,352
2023-01-04 09:00:00,NK,SFO,ATL,91,106,1,0,B,62,59,27,2,49,2030,Weather,SFO → ATL,1,2023,Wednesday,False,Winter,Major Delay,True,20,Evening,199,CARRIER_DELAY,367
2023-01-04 10:00:00,WN,SEA,DEN,122,23,0,0,C,27,1,16,1,55,2145,NAS,SEA → DEN,1,2023,Wednesday,False,Winter,Major Delay,True,21,Evening,100,LATE_AIRCRAFT_DELAY,352
2023-01-04 11:00:00,NK,JFK,SFO,31,22,0,0,B,19,3,69,4,93,1035,Weather,JFK → SFO,1,2023,Wednesday,False,Winter,Moderate Delay,True,10,Morning,188,LATE_AIRCRAFT_DELAY,384
2023-01-04 12:00:00,NK,ATL,ATL,10,-16,0,0,,62,15,68,9,64,582,Not Cancelled / Unknown,ATL → ATL,1,2023,Wednesday,False,Winter,Minor Delay,False,5,Night,218,NAS_DELAY,347
2023-01-04 13:00:00,WN,ATL,SFO,-56,80,0,0,B,32,40,38,9,40,926,Weather,ATL → SFO,1,2023,Wednesday,False,Winter,Early/On-time,False,9,Morning,159,WEATHER_DELAY,347
2023-01-04 14:00:00,AA,LAX,LAX,-19,89,0,0,C,35,57,6,4,24,2182,NAS,LAX → LAX,1,2023,Wednesday,False,Winter,Early/On-time,False,21,Evening,126,WEATHER_DELAY,380
2023-01-04 15:00:00,NK,SFO,SEA,9,46,0,0,A,12,40,31,5,33,2306,Carrier,SFO → SEA,1,2023,Wednesday,False,Winter,Minor Delay,False,23,Evening,121,WEATHER_DELAY,367
2023-01-04 16:00:00,B6,SFO,JFK,-17,38,0,0,B,61,20,3,1,7,915,Weather,SFO → JFK,1,2023,Wednesday,False,Winter,Early/On-time,False,9,Morning,92,CARRIER_DELAY,367
2023-01-04 17:00:00,B6,DEN,LAX,-12,2,0,0,B,67,4,20,4,55,1986,Weather,DEN → LAX,1,2023,Wednesday,False,Winter,Early/On-time,False,19,Evening,150,CARRIER_DELAY,374
2023-01-04 18:00:00,DL,DFW,ORD,85,27,0,0,,22,57,31,0,83,1774,Not Cancelled / Unknown,DFW → ORD,1,2023,Wednesday,False,Winter,Major Delay,True,17,Afternoon,193,LATE_AIRCRAFT_DELAY,395
2023-01-04 19:00:00,B6,JFK,JFK,16,-21,0,0,,71,34,13,2,29,1463,Not Cancelled / Unknown,JFK → JFK,1,2023,Wednesday,False,Winter,Moderate Delay,True,14,Afternoon,149,CARRIER_DELAY,384
2023-01-04 20:00:00,DL,ATL,DEN,20,-33,0,0,B,12,13,69,2,67,150,Weather,ATL → DEN,1,2023,Wednesday,False,Winter,Moderate Delay,True,1,Night,163,NAS_DELAY,347
2023-01-04 21:00:00,AA,JFK,DFW,-15,-47,0,0,,87,14,74,2,20,1504,Not Cancelled / Unknown,JFK → DFW,1,2023,Wednesday,False,Winter,Early/On-time,False,15,Afternoon,197,CARRIER_DELAY,384
2023-01-04 22:00:00,WN,ATL,SFO,67,28,0,0,C,39,5,45,2,90,867,NAS,ATL → SFO,1,2023,Wednesday,False,Winter,Major Delay,True,8,Morning,181,LATE_AIRCRAFT_DELAY,347
2023-01-04 23:00:00,WN,JFK,SFO,5,-43,0,0,,29,15,19,7,9,141,Not Cancelled / Unknown,JFK → SFO,1,2023,Wednesday,False,Winter,Minor Delay,False,1,Night,79,CARRIER_DELAY,384
2023-01-05 00:00:00,WN,ORD,SFO,-8,-7,0,0,,24,22,57,0,86,2298,Not Cancelled / Unknown,ORD → SFO,1,2023,Thursday,False,Winter,Early/On-time,False,22,Evening,189,LATE_AIRCRAFT_DELAY,401
2023-01-05 01:00:00,B6,SEA,LAX,-56,9,0,0,A,72,59,79,5,32,906,Carrier,SEA → LAX,1,2023,Thursday,False,Winter,Early/On-time,False,9,Morning,247,NAS_DELAY,352
2023-01-05 02:00:00,AA,ATL,SFO,12,51,0,0,C,25,30,47,5,74,1070,NAS,ATL → SFO,1,2023,Thursday,False,Winter,Minor Delay,False,10,Morning,181,LATE_AIRCRAFT_DELAY,347
2023-01-05 03:00:00,B6,JFK,SEA,-9,-11,0,0,C,23,41,6,0,82,93,NAS,JFK → SEA,1,2023,Thursday,False,Winter,Early/On-time,False,0,Night,152,LATE_AIRCRAFT_DELAY,384
2023-01-05 04:00:00,B6,SFO,SFO,90,56,0,0,A,38,45,39,0,74,760,Carrier,SFO → SFO,1,2023,Thursday,False,Winter,Major Delay,True,7,Morning,196,LATE_AIRCRAFT_DELAY,367
2023-01-05 05:00:00,AA,DFW,ORD,97,49,0,0,B,88,11,58,2,3,355,Weather,DFW → ORD,1,2023,Thursday,False,Winter,Major Delay,True,3,Night,162,CARRIER_DELAY,395
2023-01-05 06:00:00,AA,ORD,DEN,-40,-30,0,0,,78,40,35,7,22,531,Not Cancelled / Unknown,ORD → DEN,1,2023,Thursday,False,Winter,Early/On-time,False,5,Night,182,CARRIER_DELAY,401
2023-01-05 07:00:00,AA,ORD,SFO,-35,56,0,0,,60,54,43,5,68,2017,Not Cancelled / Unknown,ORD → SFO,1,2023,Thursday,False,Winter,Early/On-time,False,20,Evening,230,LATE_AIRCRAFT_DELAY,401
2023-01-05 08:00:00,AA,DFW,SFO,2,0,0,0,D,48,18,30,3,52,1452,Security,DFW → SFO,1,2023,Thursday,False,Winter,Minor Delay,False,14,Afternoon,151,LATE_AIRCRAFT_DELAY,395
2023-01-05 09:00:00,WN,JFK,JFK,-21,-7,0,0,,40,11,41,4,4,916,Not Cancelled / Unknown,JFK → JFK,1,2023,Thursday,False,Winter,Early/On-time,False,9,Morning,100,NAS_DELAY,384
2023-01-05 10:00:00,UA,SFO,DEN,24,0,0,0,,69,44,43,9,17,2111,Not Cancelled / Unknown,SFO → DEN,1,2023,Thursday,False,Winter,Moderate Delay,True,21,Evening,182,CARRIER_DELAY,367
2023-01-05 11:00:00,UA,LAX,SFO,0,11,0,0,A,19,54,42,2,16,1492,Carrier,LAX → SFO,1,2023,Thursday,False,Winter,Early/On-time,False,14,Afternoon,133,WEATHER_DELAY,380
2023-01-05 12:00:00,AA,DFW,LAX,27,-4,0,0,B,43,12,42,5,57,726,Weather,DFW → LAX,1,2023,Thursday,False,Winter,Moderate Delay,True,7,Morning,159,LATE_AIRCRAFT_DELAY,395
2023-01-05 13:00:00,UA,JFK,ATL,60,-21,0,0,A,15,48,46,5,66,1554,Carrier,JFK → ATL,1,2023,Thursday,False,Winter,Moderate Delay,True,15,Afternoon,180,LATE_AIRCRAFT_DELAY,384
2023-01-05 14:00:00,UA,DFW,SEA,-32,-18,0,0,A,20,1,5,5,71,765,Carrier,DFW → SEA,1,2023,Thursday,False,Winter,Early/On-time,False,7,Morning,102,LATE_AIRCRAFT_DELAY,395
2023-01-05 15:00:00,AA,DFW,LAX,59,17,0,0,A,14,19,65,8,55,1609,Carrier,DFW → LAX,1,2023,Thursday,False,Winter,Moderate Delay,True,16,Afternoon,161,NAS_DELAY,395
2023-01-05 16:00:00,UA,ATL,DFW,-17,5,0,0,C,38,54,8,9,39,922,NAS,ATL → DFW,1,2023,Thursday,False,Winter,Early/On-time,False,9,Morning,148,WEATHER_DELAY,347
2023-01-05 17:00:00,B6,JFK,LAX,111,33,0,0,,41,30,10,7,86,652,Not Cancelled / Unknown,JFK → LAX,1,2023,Thursday,False,Winter,Major Delay,True,6,Morning,174,LATE_AIRCRAFT_DELAY,384
2023-01-05 18:00:00,DL,LAX,JFK,87,14,0,0,,60,8,79,5,86,904,Not Cancelled / Unknown,LAX → JFK,1,2023,Thursday,False,Winter,Major Delay,True,9,Morning,238,LATE_AIRCRAFT_DELAY,380
2023-01-05 19:00:00,DL,SEA,JFK,9,15,0,0,C,3,20,76,1,1,745,NAS,SEA → JFK,1,2023,Thursday,False,Winter,Minor Delay,False,7,Morning,101,NAS_DELAY,352
2023-01-05 20:00:00,AA,ATL,SFO,-28,35,0,0,,23,7,17,3,20,939,Not Cancelled / Unknown,ATL → SFO,1,2023,Thursday,False,Winter,Early/On-time,False,9,Morning,70,CARRIER_DELAY,347
2023-01-05 21:00:00,WN,DFW,LAX,-36,68,0,0,C,2,38,24,5,51,87,NAS,DFW → LAX,1,2023,Thursday,False,Winter,Early/On-time,False,0,Night,120,LATE_AIRCRAFT_DELAY,395
2023-01-05 22:00:00,AA,SEA,JFK,54,70,0,0,,0,36,73,8,23,1833,Not Cancelled / Unknown,SEA → JFK,1,2023,Thursday,False,Winter,Moderate Delay,True,18,Evening,140,NAS_DELAY,352
2023-01-05 23:00:00,WN,DEN,ATL,13,65,0,0,B,12,28,57,1,52,562,Weather,DEN → ATL,1,2023,Thursday,False,Winter,Minor Delay,False,5,Night,150,NAS_DELAY,374
2023-01-06 00:00:00,DL,SEA,DEN,56,46,0,0,B,53,18,29,5,37,1268,Weather,SEA → DEN,1,2023,Friday,False,Winter,Moderate Delay,True,12,Afternoon,142,CARRIER_DELAY,352
